Gene Symbol,UniProt ID
AGO1,Q9UL18
IL33,O95760
LRRC32,Q14392
LGR4,Q9BXB1
KLF15,Q9UIH9
NUAK2,Q9H093
ESM1,Q9NQ30
CD248,Q9HCU0
C1QTNF1,Q9BXJ1
LMO3,Q8TAP4
PDK4,Q16654
NCOR1,O75376
CFD,P00746
PNPLA2,Q96AD5
RAB18,Q9NP72
PTH,P01270
RAPGEF3,O95398
RTN4,Q9NQC3
KLF11,O14901
ADM2,Q7Z4H4
IRX3,P78415
TRPM8,Q7Z2W7
ALOX12,P18054
GRN,P28799
IGF1,P05019
KITLG,P21583
VGF,O15240
AGPAT1,Q99943
DIO3,P55073
TRH,P20396
KLB,Q86Z14
MYF5,P13349
SLC17A6,Q9P2U8
FFAR4,Q5NUL3
TM4SF5,O14894
PDE10A,Q9Y233
HNF4A,P41235
CNR1,P21554
PYGM,P11217
VEGFA,P15692
BDNF,P23560
CASP3,P42574
KCNQ1,P51787
GSR,P00390
PRKACA,P17612
CPT1A,P50416
CD44,P16070
C3,P01024
PTGS2,P35354
PRKAA2,P54646
SMO,Q99835
PIK3R1,P27986
NFE2L2,Q16236
DRD2,P14416
EDNRB,P24530
GATA3,P23771
IFNG,P01579
PRDX1,Q06830
ADAM17,P78536
APOE,P02649
SYK,P43405
ADRA2A,P08913
ADORA2B,P29275
ADCY3,O60266
VIM,P08670
TNF,P01375
EIF4EBP1,Q13541
CCL2,P13500
ALDH1A1,P00352
LRP5,O75197
MME,P08473
PCSK9,Q8NBP7
PDPK1,O15530
ADCY1,Q08828
ACOT9,Q9Y305
RDH10,Q8IZV5
ENHO,Q6UWT2
CCDC80,Q76M96
CIDEB,Q9UHD4
KDM7A,Q6ZMT4
LANCL2,Q9NS86
LPIN3,Q9BQK8
TSKU,Q8WUA8
SLN,O00631
OVOL2,Q9BRP0
MTUS1,Q9ULD2
MED20,Q9H944
WSB1,Q9Y6I7
HOXC4,P09017
TRA,P0DSE1
PRLH,P81277
EID1,Q9Y6B2
TP53INP2,Q8IXH6
CCDC3,Q9BQI4
PCOLCE2,Q9UKZ9
TM6SF2,Q9BZW4
FAM3A,P98173
PAXIP1,Q6ZW49
YBX2,Q9Y2T7
SLC17A8,Q8NDX2
OXT,P01178
NRDC,O43847
